RAPL Difference (W), Cycles
40962542, 12655165467
37550197, 12673251381
32167465, 12664215816
30369141, 12670129290
30639772, 12672844422
31968211, 12656885850
30651460, 12676165950
30860480, 12675670224
33927887, 12667083681
35181713, 12671627493
36023986, 12657119496
35191921, 12669889932
34832900, 12673593870
34619669, 12675226662
35152860, 12669748581
36136635, 12652995054
55431734, 12663129003
34958062, 12669575793
36514347, 12671817963
35612951, 12668060244
34730808, 12658136526
34653817, 12671711850
35754713, 12669058311
34677070, 12675456360
35475277, 12672441957
35366609, 12654361167
35033695, 12672509073
35193706, 12671261820
34919459, 12673149846
34511429, 12670201635
35158811, 12653215869
35831811, 12670497000
35025380, 12666311973
34946298, 12671579844
34738866, 12667458573
35465497, 12652071726
34854719, 12677537040
36263964, 12683527689
35947040, 12669404706
35871360, 12674158161
35994370, 12655599936
35468426, 12676819407
36594375, 12671523585
35282812, 12669620355
34628290, 12666669414
34468753, 12654384078
34746723, 12669735078
34647348, 12668806143
34162464, 12671022147
34194322, 12671995602
