RAPL Difference (W), Cycles
53895864, 12670213647
43915347, 12657366897
44700661, 12671770608
44967065, 12670211106
37157106, 12673716258
44040935, 12668988360
47587810, 12651710295
49014921, 12661990845
47457034, 12669523986
49035519, 12669443661
47304362, 12672617034
48342913, 12654072648
50966907, 12680113929
49118188, 12667521405
48686935, 12672008937
46875841, 12665078475
48139692, 12652889991
44811769, 12667232718
46896454, 12664229298
51050659, 12666690414
44258927, 12667667922
40905950, 12654729801
46489035, 12673662729
43301731, 12670322385
46273471, 12670062594
48749509, 12668988612
46059676, 12652347624
46753900, 12670449225
49421867, 12670493262
49235658, 12668085234
41351957, 12673525347
45531108, 12655198101
48183970, 12671974329
43361451, 12670159341
46738306, 12675699624
46830510, 12667175220
49073954, 12653454450
50636954, 12669774768
46754723, 12664167390
47981909, 12670586691
49408898, 12666523254
43983428, 12653550021
40588645, 12676017438
46742044, 12676946058
49389490, 12665114175
49059460, 12668182128
48048174, 12649852698
49122597, 12666769185
49993188, 12657058722
48004353, 12669319131
