RAPL Difference (W), Cycles
52094367, 12806153052
49496586, 12667221987
51516165, 12659716608
49158515, 12669343176
49442130, 12663329154
48324939, 12666780987
46031951, 12665667525
47107900, 12655483890
48501169, 12658876209
48791635, 12665223774
50050939, 12663763938
44725394, 12666940503
46279559, 12659195073
48692123, 12663631890
43827842, 12664138305
43723096, 12669816096
46268787, 12664131375
49365734, 12657984612
46989162, 12671938734
47561750, 12662454609
49010619, 12668763723
48830528, 12670183827
47417485, 12656418327
48579046, 12661018125
45971179, 12662639745
48117232, 12665918895
44428305, 12671126118
45741348, 12652413879
47664100, 12672999150
46071195, 12663865179
47644875, 12665185554
48533349, 12667505130
50043219, 12656858109
50641744, 12659661273
51827978, 12661782546
45533122, 12667595766
47000911, 12660551421
44818316, 12651222696
46024491, 12661883661
47258741, 12666476088
47379432, 12674776275
46381528, 12664157541
47995046, 12652337670
46017594, 12667840290
45755644, 12664449819
47378135, 12665193219
50986895, 12662643441
62986199, 12655837866
49242937, 12678025101
53712676, 12668551245
